file,name,format,subversion,hota_version,size,underground,players_human,players_total,difficulty,victory,object_count,object_detail,definition_count,terrain_variety,water_percent,road_tiles,river_tiles,design_signals,towns,heroes,monsters,economy,artifacts,dwellings,quests,events,travel,banks
[HotA] A Cold Day In Hell.h3m,A Cold Day in Hell,HotA,9,1.8.0,72,False,,,4,unknown,1457,template-presence,476,8,24.0,633,47,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,6,6,16,32,12,23,3,1,3,21
[HotA] A New Day Tomorrow.h3m,A New Day Tomorrow,HotA,9,1.8.0,180,True,,,2,unknown,14352,template-presence,1071,11,26.7,1101,540,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,7,3,91,56,42,17,16,4,52,34
[HotA] Air Supremacy.h3m,Air Supremacy,HotA,9,1.8.0,72,True,,,1,unknown,2364,template-presence,572,12,16.6,316,223,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,1,9,31,6,2,7,1,5,16
[HotA] Air Tyrants.h3m,Air Tyrants,HotA,9,1.8.0,36,True,,,0,unknown,790,template-presence,303,7,0.0,103,104,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,0,5,19,5,0,6,1,5,6
[HotA] Around the Bay.h3m,Around the Bay,HotA,9,1.8.0,72,False,,,0,unknown,1059,template-presence,340,6,35.2,0,106,meaningful naval space; travel-network routing; risk/reward encounters,1,0,5,20,5,3,0,0,2,10
[HotA] Barren Lands.h3m,Barren Lands,HotA,9,1.8.0,216,True,,,2,unknown,18394,template-presence,1125,10,27.3,2749,1627,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,10,2,31,41,13,75,7,5,24,29
[HotA] Bay of Broken Ships.h3m,Bay of Broken Ships,HotA,9,1.8.0,72,False,,,1,unknown,1178,template-presence,449,5,39.6,108,73,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,2,2,33,19,14,2,4,0,3,11
[HotA] Before the Storm.h3m,Before the Storm,HotA,9,1.8.0,72,True,,,1,unknown,1637,template-presence,395,11,14.4,859,0,two-layer exploration; travel-network routing; risk/reward encounters,2,0,11,36,5,4,0,0,6,28
[HotA] Beltway.h3m,Beltway,HotA,9,1.8.0,72,True,,,1,unknown,2626,template-presence,831,11,8.3,375,266,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,1,2,6,45,7,19,1,2,14,26
[HotA] Beware of Demons!.h3m,Beware of Demons!,HotA,9,1.8.0,36,True,,,1,unknown,647,template-presence,387,8,4.4,0,12,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,3,5,22,21,17,13,3,2,1,7
